BI Reference,Number of Entries
BI146,132
BI287,86
BI1235,76
BI8581,74
BI9142,69
BI8771,68
BI20792,67
BI10116,67
BI7427,67
BI27376,66
BI30449,66
BI230,66
BI9241,66
BI15146,66
BI24096,66
BI27241,66
BI998,64
BI6807,63
BI13543,61
BI10985,61
BI27359,60
BI33331,60
BI1536,60
BI5458,60
BI16182,59
BI11639,58
BI19951,58
BI1755,57
BI16679,57
BI693,57
BI21924,57
BI11452,57
BI5076,57
BI21882,56
BI15834,56
BI2703,56
BI17455,56
BI6919,56
BI11118,56
BI21853,56
BI20443,56
BI7,56
BI19362,56
BI27242,55
BI26968,55
BI10735,55
BI29353,55
BI27239,55
BI27237,55
BI27238,55
BI29944,54
BI18703,53
BI254,53
BI177,52
BI758,52
BI372,51
BI4077,51
BI14242,51
BI8539,50
BI29883,50
BI31213,50
BI19898,50
BI18326,50
BI50,50
BI2394,50
BI32040,50
BI28912,50
BI308,49
BI10427,49
BI8871,49
BI651,49
BI944,49
BI1614,49
BI1304,48
BI3833,48
BI26778,48
BI20,48
BI13507,48
BI241,48
BI238,47
BI284,47
BI858,47
BI18753,47
BI10505,47
BI668,47
BI4899,47
BI17709,46
BI14302,46
BI17508,46
BI13828,46
BI11317,46
BI21393,46
BI2797,46
BI14191,46
BI12898,46
BI12249,46
BI17857,46
BI61,46
BI2230,46
BI13116,46
BI79,46
BI8775,46
BI656,45
BI31147,45
BI221,45
BI1109,45
BI18985,45
BI7415,45
BI1063,45
BI6467,45
BI9048,45
BI370,45
BI17489,45
BI16659,44
BI1242,44
BI9353,44
BI4936,44
BI19172,44
BI16249,44
BI27725,44
BI23663,44
BI2504,44
BI33424,44
BI659,44
BI908,44
BI17118,43
BI637,43
BI14286,43
BI10575,43
BI22276,42
BI17986,42
BI11514,42
BI4696,42
BI5823,42
BI1308,42
BI17973,42
BI13154,42
BI29819,42
BI31248,42
BI19567,42
BI514,41
BI15648,41
BI10479,41
BI19872,41
BI10231,41
BI2488,41
BI5615,41
BI19018,41
BI1271,41
BI11163,41
BI14036,41
BI5324,41
BI7727,40
BI907,40
BI30468,40
BI26424,40
BI24103,40
BI24168,40
BI19260,40
BI28626,40
BI219,39
BI8764,39
BI630,39
BI425,39
BI2251,39
BI10490,39
BI2396,39
BI3825,39
BI18751,38
BI1191,38
BI14289,38
BI424,38
BI1993,38
BI3684,38
BI16112,38
BI255,38
BI14521,38
BI18118,38
BI244,38
BI8585,38
BI2440,38
BI1090,38
BI18143,38
BI1797,37
BI14430,37
BI261,37
BI13949,37
BI20869,37
BI6396,37
BI20399,37
BI2516,37
BI2653,37
BI2694,37
BI15517,37
BI22246,37
BI1380,37
BI6289,37
BI10941,37
BI23114,37
BI4421,37
BI11061,37
BI21967,37
BI31532,36
BI30069,36
BI30070,36
BI23513,36
BI1087,36
BI16844,36
BI1620,36
BI30648,36
BI8296,36
BI18752,36
BI2359,36
BI645,36
BI11810,36
BI16473,36
BI24721,36
BI14421,36
BI18123,36
BI2818,36
BI25370,36
BI508,35
BI872,35
BI1466,35
BI17196,35
BI32015,35
BI1249,35
BI8,35
BI3268,35
BI286,35
BI2131,35
BI1956,35
BI23605,35
BI11306,35
BI1138,35
BI2370,35
BI14804,34
BI433,34
BI345,34
BI21968,34
BI10377,34
BI19501,34
BI617,34
BI6833,34
BI13114,34
BI21496,34
BI7346,34
BI1748,34
BI1428,34
BI17801,34
BI2995,33
BI7666,33
BI269,33
BI838,33
BI856,33
BI302,33
BI18750,33
BI21961,33
BI1897,33
BI13204,33
BI18582,33
